5,Global Manpower Solutions,SLBFE3456,info@globalmanpower.lk,+94 112 345 678,"No. 25, Galle Road",Colombo,Sri Lanka,https://www.globalmanpower.lk,Leading overseas recruitment agency specializing in Middle East and Europe placements.,0,2025-07-04 09:54:53.2377464,,0,3,0,2025-07-04 09:54:53.2377466,2025-07-04 09:54:53.2377466,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\logo\eb4d7d39-3f25-475a-a73f-a66715cf1dfa.png,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc1\15d39d4a-3288-4165-aec3-a472d507a2a4.txt,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc2\f3fb738f-c47d-4a83-8822-2be4448384c3.txt,password
6,Emerald International,SLBFE2978,contact@emeraldintl.lk,+94 112 556 789,"No. 80, Negombo Road",Wattala,Sri Lanka,https://www.emeraldintl.lk,Authorized recruiting agency offering skilled and semi-skilled opportunities abroad.,0,2025-07-04 09:55:28.98817,,0,2,0,2025-07-04 09:55:28.9881701,2025-07-04 09:55:28.9881702,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\logo\8eec3c8b-4433-4121-ab3e-4c016e2c8ee0.png,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc1\552657b1-8e3c-42c1-8574-848d585420bd.txt,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc2\27689721-4d60-4177-ad2f-aa06e971bed3.txt,password
7,Ceylon Recruiters Pvt Ltd,SLBFE1593,recruit@ceylonrecruiters.lk,+94 114 789 123,"No. 12A, Kandy Road",Kiribathgoda,Sri Lanka,https://www.ceylonrecruiters.lk,Accredited foreign employment agency with a focus on Gulf and Asian markets.,0,2025-07-04 09:55:56.0523533,,0,1,0,2025-07-04 09:55:56.0523533,2025-07-04 09:55:56.0523533,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\logo\9667a0b8-79bf-48da-8078-e0b54b1523f0.jpg,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc1\695469ae-66f7-442d-80b6-388182a68ae5.txt,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc2\8bbcf884-e81f-43ad-b39b-f50ff25b6525.txt,password
8,Oceanic Job Links,SLBFE1087,jobs@oceanic.lk,+94 112 678 901,"No. 48, Marine Drive",Dehiwala,Sri Lanka,https://www.oceanic.lk,Trusted manpower agency connecting Sri Lankan workers to Europe and the Far East.,0,2025-07-04 09:56:17.2019606,,0,5,0,2025-07-04 09:56:17.2019606,2025-07-04 09:56:17.2019607,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\logo\07e1449f-9467-41ba-b104-034a398dd6e9.jpg,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc1\a7b4d2e7-4ae0-4a59-b78d-5eb5e0378e6c.txt,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc2\a5bc20f7-e41c-4c3c-a727-e1924700fa02.txt,password
9,Skyline Overseas Employment,SLBFE2120,support@skyline.lk,+94 115 345 210,"No. 101, High Level Road",Nugegoda,Sri Lanka,https://www.skyline.lk,Licensed foreign employment agency with operations in multiple overseas labor markets.,0,2025-07-04 09:56:33.4648021,,0,2,0,2025-07-04 09:56:33.4648021,2025-07-04 09:56:33.4648021,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\logo\ff45e22e-9b6f-4ca8-b844-e6a80609ca1d.jpg,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc1\ecc2d530-b0e1-4e22-a964-4bc94182397c.txt,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc2\d6be81c5-bc80-4372-b53d-f71232fac8ac.txt,password
10,Lanka Talent Force,SLBFE3764,info@lankatalent.lk,+94 117 123 456,"No. 43, Dharmapala Mawatha",Colombo 07,Sri Lanka,https://www.lankatalent.lk,"Providing expert recruitment services for health, hospitality, and technical sectors overseas.",0,2025-07-04 09:59:45.6626535,,0,2,0,2025-07-04 09:59:45.6626535,2025-07-04 09:59:45.6626535,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\logo\b35d5ca4-305f-44cb-8805-727eb51ade00.jpg,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc1\38613c4f-94b0-4e37-9652-588a9adbb1de.txt,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc2\4c74000f-fbb3-45e0-a79a-b4f7496ab050.txt,password
11,Star Link Manpower,SLBFE2215,apply@starlinkmanpower.lk,+94 112 876 543,"No. 58, Gampaha Road",Ja-Ela,Sri Lanka,https://www.starlinkmanpower.lk,Well-reputed manpower agency deploying skilled workers to Gulf and Southeast Asia.,0,2025-07-04 10:00:19.6785334,,0,1,0,2025-07-04 10:00:19.6785335,2025-07-04 10:00:19.6785335,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\logo\502b1d4b-ece4-4388-b42a-b82aca011cc0.png,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc1\4ad20754-7b02-4ef4-bc54-992bc667e5a6.txt,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc2\899b23ee-22a9-40d8-8f2f-38c04352e286.txt,password
12,Elite Global Recruiters,SLBFE1908,recruitment@eliteglobal.lk,+94 114 765 432,"No. 15, Havelock Road",Colombo 05,Sri Lanka,https://www.eliteglobal.lk,"Specialized in overseas placements for IT, engineering, and hospitality sectors.",0,2025-07-04 10:00:37.7466477,,0,3,0,2025-07-04 10:00:37.7466477,2025-07-04 10:00:37.7466478,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\logo\3eff1917-114b-4803-8205-fa869736122e.jpg,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc1\52578e1f-2410-4094-bed3-989a22c61403.txt,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc2\77536262-890b-4261-a3ba-fad0fc6c4696.txt,password
13,Blue Ocean Employment Services,SLBFE2880,careers@blueocean.lk,+94 113 222 888,"No. 67, Old Kottawa Road",Nugegoda,Sri Lanka,https://www.blueocean.lk,Connecting Sri Lankan professionals with premium employers in Europe and the Middle East.,0,2025-07-04 10:00:56.1107403,,0,5,0,2025-07-04 10:00:56.1107404,2025-07-04 10:00:56.1107404,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\logo\77f4461d-d22e-4652-8860-ea4bcca9caab.jpg,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc1\00198e5a-06e9-4b0d-8334-e11eff0320ed.txt,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc2\42965c4c-f1ca-497a-aef2-df7a92e40cff.txt,password
14,TransAsia Manpower,SLBFE1333,jobs@transasia.lk,+94 112 334 556,"No. 34, Hospital Road",Kalutara,Sri Lanka,https://www.transasia.lk,Government-approved agency providing end-to-end recruitment support for global opportunities.,0,2025-07-04 10:01:09.0258193,,0,4,0,2025-07-04 10:01:09.0258193,2025-07-04 10:01:09.0258194,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\logo\7231844e-0ff7-45dd-b6dc-5d5f124d2b69.png,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc1\0c88d8fd-72ff-4ba8-8c5a-bb1b613963e3.txt,F:\ASP.NET - Copy\agentBackEnd\agent\agent\wwwroot\doc2\c4ab9799-1782-4584-84da-39f77f63b940.txt,password
